gate,question,score_0,score_1,score_2,your_score,notes
Business fit,"Can the agency define a qualified lead for our business?","Talks only about traffic or leads","Asks basic questions but leaves qualification vague","Defines enquiry, qualified lead and customer with our sales team",,
Business fit,"Can it explain which services, locations and margins matter first?","No prioritization","Generic priority list","Priorities reflect demand, economics and capacity",,
Business fit,"Will it say when SEO is not the first fix?","SEO is always the answer","Mentions other channels vaguely","Identifies intake, website, tracking or paid-media issues that may come first",,
Diagnosis,"What evidence supports the first priorities?","A prebuilt package","A light tool export","Site, search, analytics, competitor and operational evidence",,
Diagnosis,"Can it separate symptoms from root causes?","Promises more content/links","Lists issues without impact","Connects each issue to intent, accessibility, trust or conversion",,
Diagnosis,"What is explicitly out of scope?","Nothing is clear","Some exclusions","Deliverables, dependencies and exclusions are written",,
Implementation,"Who makes strategy decisions and who does the work?","Unnamed team","Roles without people or capacity","Named accountable roles and escalation path",,
Implementation,"Who ships technical and content changes?","Assumes the client will figure it out","Implementation is optional/unclear","Ownership, approvals and turnaround expectations are explicit",,
Implementation,"How are changes documented and approved?","No process","Informal updates","Change log, approvals, QA and rollback responsibility",,
Measurement,"How will search activity connect to qualified leads?","Rankings and traffic only","Form fills/calls only","Enquiry, qualification and customer stages are defined",,
Measurement,"What will the monthly review decide?","A report is emailed","Metrics are discussed","The review changes priorities based on evidence",,
Measurement,"How will tracking gaps be handled?","Ignored","Noted for later","Tracking repair has an owner, scope and validation plan",,
Risk and ownership,"What access is required during the audit and engagement?","Requests broad ownership access immediately","Access needs are not staged","Least-privilege access with named users and stages",,
Risk and ownership,"Who owns accounts, content and data when the contract ends?","Agency-controlled or unclear","Some exports promised","Client ownership and export/transition terms are written",,
Risk and ownership,"What tactics will never be used?","Avoids specifics","Generic quality promise","Explicitly rejects guarantees, spam, doorway pages and undisclosed paid links",,
First 90 days,"What will be learned, fixed and shipped in 30/60/90 days?","Ranking promise","Generic audit/content plan","Milestones, dependencies, owners and decision points",,
First 90 days,"What could delay results or change the plan?","Nothing mentioned","Generic caveat","Specific access, approval, development, competition and sales-process risks",,
First 90 days,"When should we continue, change course or stop?","Automatic renewal is the only decision","Quarterly review without criteria","Evidence-based continuation and exit criteria",,
